项目,规格,
基础参数,,
最大载荷,50kg,
重量,250kg,
材质,6060-T6/Q235/ABS,
底盘外形尺寸（长度*宽度*高度）,841*641*313mm,
升降柱外形尺寸（长度*宽度*高度）,841*641*1750mm,
底盘负载面尺寸,350*250mm,
头部俯仰范围,–20~45°,
颈部旋转范围,±90°,
身体俯仰范围,0~90°,
升降机构升降范围,0~780mm,
底盘离地间隙,40mm,
驱动类型,双舵轮驱动,
导航方式,前后双激光SLAM导航,
控制方式,JAKA Coboπ,
平均功率,1600W,
最大功率,3200W,
用户接口,"USB*3
RJ45*2
HDMI*1",
IP等级,IP20,
机械臂参数,,
单臂负载,5kg,
工作半径,976mm,
重复定位精度,±0.05mm,
自由度,7,
动作范围,旋转范围,最大速度
关节1,±360°,90°/s
关节2,±105°,90°/s
关节3,±360°,120°/s
关节4,–30°~135°,120°/s
关节5,±360°,120°/s
关节6,±105°,120°/s
关节7,±360°,120°/s
工具端典型速度,1m/s,
底座直径,130mm,
底盘运动性能,,
可越过最大间隙,30mm,
可越过最高台阶,10mm,
最大爬坡,10°,
最大速度,1.5m/s,
额定速度,1m/s,
最大加速度,1m/s²,
定位精度,±10mm,
旋转直径,φ975mm,
电池性能,,
电池类型,磷酸铁锂,
额定电压,48V,
最大充电电压,54.75V,
放电截止电压,37.5V,
最大电流,45A,
充电循环次数,2000次，80%DOD,
电池容量,21Ah*2,
额定工况工作时长,4h,
空载工作时长,6h,
完全放电后充电时长,2h,
电池重量（单个）,9±2 kg,
电池尺寸（长度*宽度*高度）,345*120*155mm,
充电器连接线长度,1.5m,
安全防护,,
激光雷达,2个,工作高度：286±2mm
3D相机,2个,
避障传感器,1个,工作高度：1690±3mm
急停按钮,1个,
控制柜规格,,
通讯方式,EtherCAT,
I/O端口,2路输入输出复用,
I/O电源,24V,
CPU,Intel® Core™ i3/i5/i7-Gen12/13 Processor,
GPU,MXM接口,
内存,DDR4 32G,
硬盘,128G SSD,
接口（单个控制柜）,千兆网口*5,
,USB 3.0*4,
,COM*2，可配置为RS232/RS485/RS422,
,HDMI*1,
,"Line out*1, Mic in*1",
环境,,
温度范围,0-50°C,
湿度范围,10-90%RH,
使用海拔,≤1000m,
